run_id,MSE,Max_Abs_Error,Mean_Rel_Error
0,0.0009765625,0.03125,0.00390625
1,0.0009765625,0.03125,0.00390625
2,0.0009765625,0.03125,0.00390625
3,0.0009765625,0.03125,0.00390625
4,0.0009765625,0.03125,0.00390625
5,0.0009765625,0.03125,0.00390625
6,0.0009765625,0.03125,0.00390625
7,0.0009765625,0.03125,0.00390625
8,0.0009765625,0.03125,0.00390625
9,0.0009765625,0.03125,0.00390625
10,0.0009765625,0.03125,0.00390625
11,0.0009765625,0.03125,0.00390625
12,0.0009765625,0.03125,0.00390625
13,0.0009765625,0.03125,0.00390625
14,0.0009765625,0.03125,0.00390625
15,0.0009765625,0.03125,0.00390625
16,0.0009765625,0.03125,0.00390625
17,0.0009765625,0.03125,0.00390625
18,0.0009765625,0.03125,0.00390625
19,0.0009765625,0.03125,0.00390625
20,0.0009765625,0.03125,0.00390625
21,0.0009765625,0.03125,0.00390625
22,0.0009765625,0.03125,0.00390625
23,0.0009765625,0.03125,0.00390625
24,0.0009765625,0.03125,0.00390625
25,0.0009765625,0.03125,0.00390625
26,0.0009765625,0.03125,0.00390625
27,0.0009765625,0.03125,0.00390625
28,0.00390625,0.0625,0.0078125
29,0.0009765625,0.03125,0.00390625
30,0.0009765625,0.03125,0.00390625
31,0.0009765625,0.03125,0.00390625
32,0.0009765625,0.03125,0.00390625
33,0.0009765625,0.03125,0.00390625
34,0.0009765625,0.03125,0.00390625
35,0.0009765625,0.03125,0.00390625
36,0.0009765625,0.03125,0.00390625
37,0.0009765625,0.03125,0.00390625
38,0.0009765625,0.03125,0.00390625
39,0.0009765625,0.03125,0.00390625
40,0.0009765625,0.03125,0.00390625
41,0.00390625,0.0625,0.0078125
42,0.0009765625,0.03125,0.00390625
43,0.0009765625,0.03125,0.00390625
44,0.0009765625,0.03125,0.00390625
45,0.0009765625,0.03125,0.00390625
46,0.0009765625,0.03125,0.00390625
47,0.0009765625,0.03125,0.00390625
48,0.0009765625,0.03125,0.00390625
49,0.0009765625,0.03125,0.00390625
